OBJECTID,RSPB_Reference,County,Country,Incident_Type,Month,Year,Grid_Square,Details,More_info here,GlobalID
4802,94682,Isle of Anglesey,Wales,Shooting,May,2011,SH37,Species involved: Buzzard x1,No Link,ed9b2c2f-c026-47f7-a8be-e3195cd17e62
4803,94684,Berkshire,England,Shooting,March,2011,SU88,Species involved: Buzzard x1,No Link,15d5bd57-6d2b-408b-af9d-edbffb00a4d2
4804,94685,Shropshire,England,Shooting,March,2011,SO38,Species involved: Barn Owl x1,No Link,844f8764-1dc6-4666-bae8-684928c2d6e3
4805,94686,Cambridgeshire,England,Shooting,November,2011,TL43,Species involved: Barn Owl x1,No Link,fbe471e6-0e53-4e88-a40a-c64d1b7ac60c
4806,94699,Monmouthshire,Wales,Poisoning,July,2011,SO20,"Species involved: Buzzard x1, Raven x1. Tested positive for: Carbofuran, Carbofuran, Chlorpyrifos, Chlorpyrifos, Diazinon/Dimpylate, Diazinon/Dimpylate",No Link,8d7649ef-60bd-40a1-b2b5-c89851eb029a
4807,94717,Armagh,Northern Ireland,Poisoning,August,2011,J03,Species targeted: Birds of Prey. Species involved: Magpie x1. Tested positive for: Alphachloralose,No Link,7b79dbc3-f5fa-4486-93d9-f65db30955a7
4808,94738,Dumfries and Galloway,Scotland,Poisoning,July,2011,NS90,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,f55113e6-73de-4503-85e6-bacfa7aba624
4809,94743,East Ayrshire,Scotland,Poisoning,August,2011,NS62,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,2e777a51-39c3-4bc5-b06f-a34537bd4234
4810,94783,Hertfordshire,England,Poisoning,December,2011,TL12,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,7aac96a7-5b54-474a-933b-bb802d82a6c5
4811,94794,Midlothian,Scotland,Shooting,July,2011,NT23,Species involved: Goshawk x2,No Link,153725f6-3b60-4137-9426-29adc5a74511
4812,94795,Fife,Scotland,Shooting,April,2011,NT08,Species involved: Birds of Prey x1,No Link,b85ac464-ac81-4be5-9831-db8789e0fbca
4813,94802,Buckinghamshire,England,Poisoning,November,2011,SP80,"Species involved: Red Kite x1, Magpie x1, Rook x1. Tested positive for: Bendiocarb",No Link,cb1179ea-1891-45f8-8b92-3cb011d9341b
4814,94823,Aberdeenshire,Scotland,Shooting,May,2011,NJ31,Species involved: Short-eared Owl x1,No Link,1a68ecca-2f28-4a8b-9337-3aef1bedb374
4815,94824,Aberdeenshire,Scotland,Poisoning,May,2011,NJ31,Species involved: Buzzard x1. Tested positive for: Carbofuran,No Link,6a96a6e3-9e94-4ab0-9b0b-ca037fdc349d
4816,94839,South Lanarkshire,Scotland,Trapping,March,2011,NS82,Species targeted: Birds of Prey,No Link,c9f23e0d-9765-4712-982f-16898fe503a7
4817,94871,Merseyside,England,Persecution (Other),December,2011,SJ38,Species targeted: Peregrine Falcon,No Link,bebd438e-51aa-4753-b3f7-782bfa8662ef
4818,94881,Fife,Scotland,Persecution (Other),May,2011,NO30,Species targeted: Peregrine Falcon,No Link,555d8919-f434-4849-a3fe-4665508a9b18
4819,94951,Essex,England,Shooting,October,2011,TM11,Species involved: Short-eared Owl x1,No Link,0d42555a-68e7-4d88-a005-9bfdaf1fa9b4
4820,94954,Scottish Borders,Scotland,Poisoning,September,2011,NT75,Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Bendiocarb,No Link,01da3321-5b75-490d-998f-f1cf41c09cef
4821,94970,Lancashire,England,Persecution (Other),March,2011,SD82,Species involved: Owls x1,No Link,e86f37f5-bd3b-4b23-84fa-fd95efebb111
4822,94981,Pembrokeshire,Wales,Poisoning,March,2011,SN02,Species involved: Red Kite x1. Tested positive for: Fenthion,No Link,c38f6c56-e7ac-43e4-ba50-734cabcda19f
4823,94989,Suffolk,England,Poisoning,March,2011,Unknown/Withheld,"Species targeted: Birds of Prey, Badger. Species involved: poison bait (Pigeon Bait (Species Unknown)). Tested positive for: Aldicarb, Bendiocarb",No Link,38eada9d-38d5-43cd-be52-d70e49866d1e
4824,95006,Aberdeenshire,Scotland,Shooting,August,2011,NK04,Species involved: Peregrine Falcon x1,No Link,76d87877-21e6-413c-8053-db162038d6f3
4825,95125,South Lanarkshire,Scotland,Shooting,December,2011,NS82,Species involved: Buzzard x1,No Link,8f6ec8f8-22e1-4f48-b994-6a86ab77860b
4826,95127,North Yorkshire,England,Poisoning,December,2011,SE14,Species involved: Red Kite x1. Tested positive for: Alphachloralose,No Link,9b41adf2-b821-4d5e-a562-efd8666d8543
4827,95341,North Lanarkshire,Scotland,Poisoning,February,2011,NS75,Species involved: Peregrine Falcon x1. Tested positive for: Strychnine,No Link,203a7909-2485-43a8-ba61-48a20ba6be92
4828,98386,Surrey,England,Shooting,August,2011,TQ35,Species involved: Buzzard x1,No Link,65754bd5-b36a-48de-97e9-f4da2868e5b3
4829,100072,Monmouthshire,Wales,Poisoning,July,2011,SO20,Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x2). Tested positive for: Bendiocarb,No Link,78343b11-c07b-408c-beba-8800375d32ec
4830,101806,Aberdeenshire,Scotland,Shooting,December,2011,NJ70,Species involved: Buzzard x1,No Link,52ac30e5-55c2-49c1-bd46-31125a9b0b48
4831,106203,Angus,Scotland,Trapping,June,2011,NO36,Species involved: Merlin x1,#N/A,25437257-b7c7-46b3-9e34-0b2bb8d4e48c
4832,94630,Tyne and Wear,England,Persecution (Other),February,2012,NZ35,"Species targeted: Birds of Prey, Non-bird. Possession of: Carbofuran",No Link,ac316a8b-22d8-45e0-8f3d-818a44725778
4833,94784,Bedfordshire,England,Poisoning,February,2012,TL12,Species involved: Red Kite x1. Tested positive for: Carbofuran,http://ww2.rspb.org.uk/our-work/rspb-news/news/313401-police-appeal-after-red-kites-illegally-poisoned-in-the-chilterns,8acbc6dc-da4e-4f7b-b78f-3af14914ca2b
4834,94798,Derbyshire,England,Shooting,March,2012,SK19,Species involved: Sparrowhawk x1,No Link,60aaac1e-cac8-4042-ace8-658841ed9e8d
4835,94808,Lincolnshire,England,Shooting,March,2012,SE90,Species involved: Buzzard x1,No Link,15b4553e-3a71-47f2-ac86-0ba77eb9a77e
4836,94848,Hampshire,England,Poisoning,March,2012,SU42,Species involved: Buzzard x1. Tested positive for: Alphachloralose,No Link,37636d20-c476-461d-b8aa-07fb87375520
4837,94882,Norfolk,England,Trapping,March,2012,TF64,Species involved: Sparrowhawk x1,No Link,e98597c9-44a0-47fb-8c2d-cece965c1026
4838,94929,Staffordshire,England,Nest Destruction,May,2012,SJ90,Species targeted: Peregrine Falcon nest,https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-18423185,ddf588da-48c0-4dea-bc5b-39a39666aad0
4839,94996,Bedfordshire,England,Shooting,February,2012,TL23,Species involved: Sparrowhawk x1,https://raptorpersecutionscotland.wordpress.com/2012/06/06/pigeon-fancier-gets-police-caution-for-killing-sparrowhawks/,ba292443-af3a-4798-a1e1-cf1a3bf3480a
4840,95000,Bedfordshire,England,Shooting,February,2012,TL23,Species involved: Sparrowhawk x1,https://raptorpersecutionscotland.wordpress.com/2012/06/06/pigeon-fancier-gets-police-caution-for-killing-sparrowhawks/,dff7b478-d2e0-4dcc-8e78-2f73a2011362
4841,95023,Merseyside,England,Persecution (Other),February,2012,SD30,Species involved: Barn Owl x6,No Link,44562cd8-fdb1-462a-baaf-484f51c6e8ca
4842,95025,Merseyside,England,Shooting,February,2012,SD30,Species involved: Buzzard x1,No Link,7875a202-37ac-4262-ad11-095290ea09e3
4843,95029,Lancashire,England,Persecution (Other),June,2012,SD64,Species involved: Peregrine Falcon x1,No Link,607f96b1-1342-4a40-ad65-dca0f520cc75
4844,95030,Down,Northern Ireland,Trapping,May,2012,J03,Species involved: Buzzard x1,No Link,6a83bdf2-bb63-4832-a1b9-9f81d40a140b
4845,95042,East Sussex,England,Shooting,March,2012,TQ41,Species involved: Buzzard x1,No Link,4790f3aa-3415-410e-afe9-955cd76300fe
4846,95053,Londonderry,Northern Ireland,Nest Destruction,June,2012,C83,Species targeted: Sparrowhawk nest,No Link,d77b4606-6681-4c25-8e78-f06f742ab33a
4847,95116,North Yorkshire,England,Poisoning,May,2012,SE17,"Species Involved: Red Kite x1; poison bait (Rabbit Bait x1). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",No Link,e643cabb-31d2-427f-88c5-57710038df80
4848,95130,Antrim,Northern Ireland,Poisoning,January,2012,D13,Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran,No Link,31d130f7-5fbe-482f-89fc-d32a69b31541
4849,95200,Somerset & Avon,England,Persecution (Other),February,2012,ST72,Species targeted: Birds of Prey. Possession of: Fenthion,No Link,dfc90059-b274-42dc-a173-975f77ab90d4
4850,95225,Lincolnshire,England,Nest Destruction,May,2012,TF24,Species involved: Barn Owl x3 nest,No Link,1b6dd77f-1095-4089-b0da-b46db4006fae
4851,95260,Cornwall,England,Shooting,August,2012,SW86,Species involved: Peregrine Falcon x1,No Link,6ffb6443-7797-4ccf-8cb6-ed6e8969e9c6
4852,95281,Aberdeenshire,Scotland,Trapping,July,2012,NJ41,Species targeted: Birds of Prey,No Link,1e019c45-69c9-4745-a973-7c302c602b99
4853,95289,Cornwall,England,Shooting,October,2012,SW86,Species involved: Peregrine Falcon x1,No Link,4e524eae-7639-4d29-9395-30c48a36f4cb
4854,95303,North Yorkshire,England,Trapping,August,2012,SE88,Species involved: Buzzard x1,No Link,6a54d07e-0eaa-42a8-b75a-4422fdf1d451
4855,95304,North Yorkshire,England,Trapping,September,2012,SE88,Species targeted: Goshawk,No Link,22b5399b-c46a-472a-8f52-6744343b4385
4856,95306,West Yorkshire,England,Shooting,October,2012,SD93,Species involved: Marsh Harrier x1,No Link,97807b37-e4dd-4be7-ab48-3154618606c8
4857,95307,Lincolnshire,England,Poisoning,May,2012,TA12,Species involved: Marsh Harrier x1. Tested positive for: Aldicarb,No Link,67470b11-176e-44c7-a129-48b8bf504b60
4858,95313,Dorset,England,Shooting,November,2012,SY49,Species involved: Peregrine Falcon x1,No Link,954387a7-25c3-4914-ab02-54d550b66fbd
4859,95324,Suffolk,England,Poisoning,September,2012,TM37,Species Involved: Buzzard x1; poison bait (Hare Bait x1). Tested positive for: Alphachloralose,No Link,f3fe74b8-c1db-4f71-beed-80575f074c08
4860,95326,Powys,Wales,Poisoning,May,2012,SN94,Species involved: Red Kite x1. Tested positive for: Fenthion,No Link,054d183d-0ccb-4f03-9ce5-56f8e976c418
4861,95356,Stirling,Scotland,Trapping,May,2012,NS68,Species targeted: Birds of Prey,No Link,bebea53b-6670-4fe4-9573-6b285915ed8e
4862,95368,Lancashire,England,Trapping,October,2012,SD52,Species targeted: Birds of Prey,No Link,366af934-6741-4120-b3c1-c70ce5ac1ce8
